"User","Arsonist","Enforcer","Lookout","Muscle","Negotiator"
"Barbarian","0","0","0","0","0"
"die_opfer","0","0","0","0","0"
"Senua","0","0","0","0","0"
"mexiee29","0","0","0","0","0"
"Mcrathe","0","0","0","0","0"
"Iamcosima","0","0","0","0","0"
"DarkFion","0","0","0","0","0"
"Kainaan87","89","0","0","0","0"
"LostMaster","0","0","0","84","0"
"Grindspawn","0","0","0","0","0"
"Iamkaylle90","0","0","0","86","0"
"uluxium","0","0","0","0","0"
"TJNoakes","0","0","0","0","0"
"DurianG","0","0","89","0","0"
"Thepartisan","0","0","0","0","0"
"amayia","0","0","0","0","0"
"Tadpole0912","0","0","80","0","74"
"TheBakerGirl","0","0","0","0","80"
"LilLoaf","83","0","0","0","0"
"BZNelson726","0","0","0","0","0"
"Syjren","0","0","83","0","0"
"Jaly","0","0","0","0","0"
"Ferrousbuns","0","84","0","0","0"
"thikool","0","85","0","0","0"
"Frost2211","0","0","0","0","0"
"EcoWarrior","0","0","79","79","78"
"BuilderSkully","67","0","0","0","0"
"OperadorEquis","0","0","67","0","0"
"MaxxLethal","0","0","0","0","0"
"TheDonsPizzeria","0","0","0","0","0"
"GubtumboTheWise","0","0","0","0","0"
"GlennnSeaborg","0","0","0","0","0"
"XISTO","0","0","0","0","0"
"DexJoo","0","0","0","0","0"
"Knetterkeesnl","0","0","0","0","0"
